module_ass,serial PRIMARY KEY,,
module_name,TEXT,fk_identifier,
geometry,TEXT,,
resolution,TEXT,,
proto_name,TEXT,,
hxb_name,TEXT,,
pml_position,TEXT,,
hxb_position,TEXT,,
put_position,TEXT,,
region,TEXT,,
ass_tray_id,TEXT,,
hxb_tray_id,TEXT,,
hxb_put_id,TEXT,,
tape_batch,TEXT,,
tape_pattern,TEXT,,
glue_batch,TEXT,,
glue_pattern,TEXT,,
adhesive,TEXT,,
ass_run_date,DATE,,
ass_time_begin,TIME,,
ass_time_end,TIME,,
cure_date_end,DATE,,
cure_time_end,TIME,,
operator,TEXT,,
rel_hum,TEXT,,
temp_c,TEXT,,
module_no,INT,fk_mod_ass,module_info
pos_col,INT,,
pos_row,INT,,
xml_gen_datetime,TIMESTAMP,,
xml_upload_success,BOOLEAN,,
batch_no,INT,,
comment,TEXT,,
